n.exp, avg.step, time[ms]
Experiment:0, 329, 129, ms
Experiment:1, 345, 28, ms
Experiment:2, 361, 22, ms
Experiment:3, 393, 20, ms
Experiment:4, 345, 18, ms
Experiment:5, 361, 17, ms
Experiment:6, 329, 16, ms
Experiment:7, 329, 15, ms
Experiment:8, 345, 15, ms
Experiment:9, 329, 15, ms
Experiment:10, 329, 15, ms
Experiment:11, 377, 15, ms
Experiment:12, 345, 12, ms
Experiment:13, 361, 12, ms
Experiment:14, 345, 11, ms
Experiment:15, 401, 14, ms
Experiment:16, 409, 12, ms
Experiment:17, 345, 13, ms
Experiment:18, 361, 13, ms
Experiment:19, 313, 10, ms
Experiment:20, 345, 14, ms
Experiment:21, 329, 10, ms
Experiment:22, 345, 11, ms
Experiment:23, 425, 13, ms
Experiment:24, 361, 11, ms
Experiment:25, 345, 12, ms
Experiment:26, 377, 11, ms
Experiment:27, 361, 31, ms
Experiment:28, 297, 11, ms
Experiment:29, 313, 10, ms
Experiment:30, 377, 8, ms
Experiment:31, 345, 8, ms
Experiment:32, 377, 10, ms
Experiment:33, 329, 8, ms
Experiment:34, 409, 9, ms
Experiment:35, 345, 8, ms
Experiment:36, 345, 7, ms
Experiment:37, 345, 9, ms
Experiment:38, 329, 11, ms
Experiment:39, 377, 10, ms
Experiment:40, 313, 8, ms
Experiment:41, 345, 8, ms
Experiment:42, 313, 7, ms
Experiment:43, 329, 7, ms
Experiment:44, 329, 7, ms
Experiment:45, 393, 10, ms
Experiment:46, 361, 8, ms
Experiment:47, 329, 7, ms
Experiment:48, 417, 8, ms
Experiment:49, 345, 8, ms
Experiment:50, 377, 8, ms
Experiment:51, 377, 9, ms
Experiment:52, 353, 8, ms
Experiment:53, 361, 7, ms
Experiment:54, 377, 7, ms
Experiment:55, 345, 9, ms
Experiment:56, 345, 7, ms
Experiment:57, 329, 7, ms
Experiment:58, 345, 12, ms
Experiment:59, 361, 8, ms
Experiment:60, 377, 8, ms
Experiment:61, 329, 9, ms
Experiment:62, 305, 7, ms
Experiment:63, 345, 9, ms
Experiment:64, 345, 7, ms
Experiment:65, 329, 7, ms
Experiment:66, 329, 6, ms
Experiment:67, 313, 7, ms
Experiment:68, 425, 9, ms
Experiment:69, 313, 7, ms
Experiment:70, 345, 6, ms
Experiment:71, 393, 9, ms
Experiment:72, 345, 8, ms
Experiment:73, 345, 7, ms
Experiment:74, 361, 7, ms
Experiment:75, 393, 7, ms
Experiment:76, 377, 7, ms
Experiment:77, 329, 7, ms
Experiment:78, 345, 6, ms
Experiment:79, 393, 7, ms
Experiment:80, 345, 7, ms
Experiment:81, 313, 6, ms
Experiment:82, 345, 7, ms
Experiment:83, 425, 7, ms
Experiment:84, 345, 8, ms
Experiment:85, 321, 7, ms
Experiment:86, 345, 10, ms
Experiment:87, 377, 10, ms
Experiment:88, 361, 9, ms
Experiment:89, 361, 7, ms
Experiment:90, 329, 7, ms
Experiment:91, 361, 9, ms
Experiment:92, 345, 10, ms
Experiment:93, 313, 7, ms
Experiment:94, 361, 9, ms
Experiment:95, 329, 9, ms
Experiment:96, 393, 9, ms
Experiment:97, 377, 14, ms
Experiment:98, 409, 10, ms
Experiment:99, 337, 9, ms
Platooning ABS Total Experiment:100, 353, 1125, ms
